ID,Nucleus,Z,A,Emin,Emax,Reaction,Method,Reference,Author,Validation,NR_flag,Datafile,Comments
977,104Pd,46,104,7,24,,Evaporation,"D.R. Chakrabarty et al. PRC 51, 2942 (1995)",,no,0,D:\data\NLD_data\46_104\NLD_46_104_1.dat,Paper lists uncertainty < 15%; uncertainties are high in the reported data
983,107Cd,48,107,0,6,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,no,1,,
985,109Cd,48,109,0,8,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,no,1,,Energies too high? Also errors not listed so I took 20% (evaporation)
986,109Cd,48,109,0,8,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,no,1,,Duplicate of previous row?
989,114Sn,50,114,12,25,,Evaporation,"D.R. Chakrabarty et al. PRC 51, 2942 (1995)",,,0,,Paper lists uncertainty < 15%; uncertainties are high in the reported data
990,115Sn,50,115,0,7,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,no,1,,Data not present
991,115Sn,50,115,3,10,,Evaporation,"P. Roy et al. PRC 102, 061601(R) (2020)",,no,1,,LD data not available from publication
992,115Te,52,115,5,13,,Evaporation,"P. Roy et al. PRC 102, 061601(R) (2020)",,,0,,LD data not available from publication
995,116Sb,51,116,0,6,,Evaporation,"B.V. Zhuravlev et al. PAN 69, 363 (2006)",Zhuravlev,,0,,
996,116Sb,51,116,0,8,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,,0,,Data not present
998,117Sb,51,117,0,6,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,,0,,Data not present
1000,118Sb,51,118,0,6,,Evaporation,"B.V. Zhuravlev et al. PAN 69, 363 (2006)",,,0,,
1001,118Sb,51,118,0,8,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,,0,,Data not present
1003,119Sb,51,119,0,7,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,,0,,Data not present
1004,119Te,52,119,7,11,,Evaporation,"R. Shil et al. PLB 2022 (see Figure 2b, Probably can email authors for data) https://doi.org/10.1016/j.physletb.2022.137145",,,0,,Data not present
1007,122Sb,51,122,0,7,,Evaporation,"B.V. Zhuravlev et al. PAN 69, 363 (2006)",Zhuravlev,,1,D:\data\NLD_data\51_122\NLD_51_122_2.DAT,Data not present
1008,122Sb,51,122,0,6,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,no,1,,Data not present
1009,124Sb,51,124,0,9,,Evaporation,"B.V. Zhuravlev et al. PAN 69, 363 (2006)",Zhuravlev,,1,,Data not present
1010,127Te,52,127,11,14,,Evaporation,"R. Shil et al. PLB 2022 (see Figure 2b, Probably can email authors for data) https://doi.org/10.1016/j.physletb.2022.137146",,,1,,Data not present
1011,133Cs,55,133,2,8,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,0,,Data not present
